DateUnix;DateLong;Close;Deflator
33322;1991-03-25;468.48999;16.46342581
33323;1991-03-26;478.570007;16.11666022
33324;1991-03-27;482.369995;15.98969728
33325;1991-03-28;482.299988;15.99201822
33326;1991-03-29;482.299988;15.99201822
33327;1991-03-30;482.299988;15.99201822
33328;1991-03-31;482.299988;15.99201822
33329;1991-04-01;480.859985;16.03990857
33330;1991-04-02;491.200012;15.70225979
33331;1991-04-03;495.049988;15.58014419
33332;1991-04-04;497.570007;15.50123618
33333;1991-04-05;495.790009;15.55688912
33334;1991-04-06;495.790009;15.55688912
33335;1991-04-07;495.790009;15.55688912
33336;1991-04-08;495.649994;15.56128375
33337;1991-04-09;492.459991;15.66208491
33338;1991-04-10;490.76001;15.716338
33339;1991-04-11;499.309998;15.44721761
33340;1991-04-12;501.619995;15.37608204
33341;1991-04-13;501.619995;15.37608204
33342;1991-04-14;501.619995;15.37608204
33343;1991-04-15;500.839996;15.40002847
33344;1991-04-16;506.75;15.22042466
33345;1991-04-17;511.309998;15.08468488
33346;1991-04-18;506.619995;15.22433041
33347;1991-04-19;501.190002;15.38927386
33348;1991-04-20;501.190002;15.38927386
33349;1991-04-21;501.190002;15.38927386
33350;1991-04-22;494.380005;15.60125838
33351;1991-04-23;496.079987;15.54779551
33352;1991-04-24;498.450012;15.47386901
33353;1991-04-25;496.029999;15.54936236
33354;1991-04-26;494.640015;15.5930575
33355;1991-04-27;494.640015;15.5930575
33356;1991-04-28;494.640015;15.5930575
33357;1991-04-29;487.73999;15.81365144
33358;1991-04-30;484.720001;15.91217647
33359;1991-05-01;487.850006;15.81008527
33360;1991-05-02;491.130005;15.70449803
33361;1991-05-03;492.100006;15.67354217
33362;1991-05-04;492.100006;15.67354217
33363;1991-05-05;492.100006;15.67354217
33364;1991-05-06;491.480011;15.69331412
33365;1991-05-07;491.51001;15.69235629
33366;1991-05-08;492.51001;15.66049428
33367;1991-05-09;497.809998;15.49376313
33368;1991-05-10;493.420013;15.631612
33369;1991-05-11;493.420013;15.631612
33370;1991-05-12;493.420013;15.631612
33371;1991-05-13;493.929993;15.61547244
33372;1991-05-14;488.790009;15.77968054
33373;1991-05-15;478.079987;16.13317939
33374;1991-05-16;481.769989;16.00961117
33375;1991-05-17;481.380005;16.02258115
33376;1991-05-18;481.380005;16.02258115
33377;1991-05-19;481.380005;16.02258115
33378;1991-05-20;480.100006;16.0652991
33379;1991-05-21;483.600006;15.94902833
33380;1991-05-22;487.290009;15.82825433
33381;1991-05-23;489.600006;15.75357455
33382;1991-05-24;492.670013;15.65540827
33383;1991-05-25;492.670013;15.65540827
33384;1991-05-26;492.670013;15.65540827
33385;1991-05-27;492.670013;15.65540827
33386;1991-05-28;497.170013;15.51370757
33387;1991-05-29;499.049988;15.45526577
33388;1991-05-30;503.190002;15.32810701
33389;1991-05-31;506.109985;15.23967205
33390;1991-06-01;506.109985;15.23967205
33391;1991-06-02;506.109985;15.23967205
33392;1991-06-03;507.100006;15.20991935
33393;1991-06-04;507.25;15.20542177
33394;1991-06-05;505.200012;15.26712196
33395;1991-06-06;502.940002;15.33572626
33396;1991-06-07;498.540009;15.47107565
33397;1991-06-08;498.540009;15.47107565
33398;1991-06-09;498.540009;15.47107565
33399;1991-06-10;495.850006;15.55500676
33400;1991-06-11;496.619995;15.53088936
33401;1991-06-12;491.049988;15.70705709
33402;1991-06-13;491.140015;15.70417795
33403;1991-06-14;495.070007;15.57951418
33404;1991-06-15;495.070007;15.57951418
33405;1991-06-16;495.070007;15.57951418
33406;1991-06-17;494.320007;15.60315198
33407;1991-06-18;491.589996;15.689803
33408;1991-06-19;485.359985;15.89119506
33409;1991-06-20;485.880005;15.87418728
33410;1991-06-21;485.820007;15.87614772
33411;1991-06-22;485.820007;15.87614772
33412;1991-06-23;485.820007;15.87614772
33413;1991-06-24;475.230011;16.22993081
33414;1991-06-25;473.299988;16.29611323
33415;1991-06-26;473.079987;16.30369157
33416;1991-06-27;476.23999;16.19551142
33417;1991-06-28;475.920013;16.2064002
33418;1991-06-29;475.920013;16.2064002
33419;1991-06-30;475.920013;16.2064002
33420;1991-07-01;481.309998;16.02491165
33421;1991-07-02;478.779999;16.10959148
33422;1991-07-03;474.320007;16.26106865
33423;1991-07-04;474.320007;16.26106865
33424;1991-07-05;474.049988;16.27033096
33425;1991-07-06;474.049988;16.27033096
33426;1991-07-07;474.049988;16.27033096
33427;1991-07-08;479.51001;16.08506608
33428;1991-07-09;483.640015;15.94770895
33429;1991-07-10;487.170013;15.83215302
33430;1991-07-11;488.369995;15.79325158
33431;1991-07-12;492.709991;15.654138
33432;1991-07-13;492.709991;15.654138
33433;1991-07-14;492.709991;15.654138
33434;1991-07-15;496.190002;15.54434826
33435;1991-07-16;493.600006;15.62591187
33436;1991-07-17;493.420013;15.631612
33437;1991-07-18;496.799988;15.52526244
33438;1991-07-19;497.549988;15.50185988
33439;1991-07-20;497.549988;15.50185988
33440;1991-07-21;497.549988;15.50185988
33441;1991-07-22;494.98999;15.58203267
33442;1991-07-23;489.649994;15.75196628
33443;1991-07-24;487.420013;15.82403264
33444;1991-07-25;490.279999;15.73172516
33445;1991-07-26;492.690002;15.65477311
33446;1991-07-27;492.690002;15.65477311
33447;1991-07-28;492.690002;15.65477311
33448;1991-07-29;493.350006;15.63383014
33449;1991-07-30;498.269989;15.47945966
33450;1991-07-31;502.040009;15.36321818
33451;1991-08-01;504.149994;15.29891954
33452;1991-08-02;505.670013;15.25293175
33453;1991-08-03;505.670013;15.25293175
33454;1991-08-04;505.670013;15.25293175
33455;1991-08-05;502.609985;15.3457958
33456;1991-08-06;505.200012;15.26712196
33457;1991-08-07;507.459991;15.19912965
33458;1991-08-08;509.390015;15.14154178
33459;1991-08-09;508.309998;15.17371334
33460;1991-08-10;508.309998;15.17371334
33461;1991-08-11;508.309998;15.17371334
33462;1991-08-12;510;15.12343175
33463;1991-08-13;514.400024;14.99407044
33464;1991-08-14;517.679993;14.8990695
33465;1991-08-15;515.669983;14.95714401
33466;1991-08-16;512.469971;15.05054078
33467;1991-08-17;512.469971;15.05054078
33468;1991-08-18;512.469971;15.05054078
33469;1991-08-19;497.640015;15.49905547
33470;1991-08-20;502.049988;15.36291282
33471;1991-08-21;517.969971;14.89072847
33472;1991-08-22;518.299988;14.8812471
33473;1991-08-23;521.059998;14.80242242
33474;1991-08-24;521.059998;14.80242242
33475;1991-08-25;521.059998;14.80242242
33476;1991-08-26;521.380005;14.79333715
33477;1991-08-27;521.75;14.78284656
33478;1991-08-28;526.289978;14.65532409
33479;1991-08-29;526.390015;14.65253894
33480;1991-08-30;525.679993;14.67232974
33481;1991-08-31;525.679993;14.67232974
33482;1991-09-01;525.679993;14.67232974
33483;1991-09-02;525.679993;14.67232974
33484;1991-09-03;520.909973;14.8066856
33485;1991-09-04;517.919983;14.89216568
33486;1991-09-05;516.929993;14.92068617
33487;1991-09-06;516.940002;14.92039727
33488;1991-09-07;516.940002;14.92039727
33489;1991-09-08;516.940002;14.92039727
33490;1991-09-09;518.070007;14.88785317
33491;1991-09-10;511.279999;15.08556996
33492;1991-09-11;514.76001;14.98358467
33493;1991-09-12;521.130005;14.80043391
33494;1991-09-13;516.710022;14.92703812
33495;1991-09-14;516.710022;14.92703812
33496;1991-09-15;516.710022;14.92703812
33497;1991-09-16;515.679993;14.95685367
33498;1991-09-17;515.169983;14.97166071
33499;1991-09-18;518.549988;14.87407265
33500;1991-09-19;522.669983;14.75682638
33501;1991-09-20;527.190002;14.63030438
33502;1991-09-21;527.190002;14.63030438
33503;1991-09-22;527.190002;14.63030438
33504;1991-09-23;524.690002;14.70001366
33505;1991-09-24;526.469971;14.65031364
33506;1991-09-25;527.820007;14.61284167
33507;1991-09-26;526.940002;14.63724554
33508;1991-09-27;524.47998;14.70590011
33509;1991-09-28;524.47998;14.70590011
33510;1991-09-29;524.47998;14.70590011
33511;1991-09-30;526.880005;14.63891232
33512;1991-10-01;528.51001;14.59376369
33513;1991-10-02;526.330017;14.65420923
33514;1991-10-03;520.51001;14.81806314
33515;1991-10-04;520.400024;14.82119493
33516;1991-10-05;520.400024;14.82119493
33517;1991-10-06;520.400024;14.82119493
33518;1991-10-07;516.200012;14.94178616
33519;1991-10-08;517.25;14.91145519
33520;1991-10-09;513.809998;15.01128866
33521;1991-10-10;515.940002;14.94931613
33522;1991-10-11;519.049988;14.85974448
33523;1991-10-12;519.049988;14.85974448
33524;1991-10-13;519.049988;14.85974448
33525;1991-10-14;525.659973;14.67288854
33526;1991-10-15;534.109985;14.44075268
33527;1991-10-16;540.940002;14.25842083
33528;1991-10-17;536.27002;14.38258696
33529;1991-10-18;538.900024;14.31239535
33530;1991-10-19;538.900024;14.31239535
33531;1991-10-20;538.900024;14.31239535
33532;1991-10-21;536.960022;14.36410511
33533;1991-10-22;537.140015;14.35929177
33534;1991-10-23;535.169983;14.41215023
33535;1991-10-24;528.75;14.58713985
33536;1991-10-25;525.130005;14.68769661
33537;1991-10-26;525.130005;14.68769661
33538;1991-10-27;525.130005;14.68769661
33539;1991-10-28;529.409973;14.56895523
33540;1991-10-29;534.51001;14.42994528
33541;1991-10-30;541.320007;14.24841147
33542;1991-10-31;542.97998;14.20485189
33543;1991-11-01;540.929993;14.25868466
